id,team,element_type,first_name,second_name,web_name
252,11,2,Mohamed,Salah,Salah
253,11,2,James,Milner,Milner
254,11,2,Fabio Henrique,Tavares,Fabinho
255,11,2,Naby,Keita,Keita
256,11,3,Roberto,Firmino,Firmino
257,15,3,Danny,Ings,Ings
258,1,3,Dominic,Solanke,Solanke
259,12,0,Ederson,Santana de Moraes,Ederson
260,12,0,Claudio,Bravo,Bravo
261,12,1,John,Stones,Stones
262,12,1,Vincent,Kompany,Kompany
263,12,1,Nicolas,Otamendi,Otamendi
264,12,1,Kyle,Walker,Walker
265,12,1,Danilo Luiz,da Silva,Danilo
266,12,1,Benjamin,Mendy,Mendy
267,12,1,Aymeric,Laporte,Laporte
268,12,1,Fabian,Delph,Delph
269,12,2,Raheem,Sterling,Sterling
270,12,2,David,Silva,David Silva
271,12,2,Fernando,Luiz Rosa,Fernandinho
272,12,2,Kevin,De Bruyne,De Bruyne
273,12,2,Ilkay,Gundogan,Gundogan
274,12,2,Leroy,Sane,Sane
275,12,2,Bernardo Mota,Veiga de Carvalho e Silva,Bernardo Silva
276,12,2,Phil,Foden,Foden
277,12,2,Brahim,Diaz,Diaz
278,12,2,Oleksandr,Zinchenko,Zinchenko
279,12,3,Sergio,Aguero,Aguero
280,12,3,Gabriel Fernando,de Jesus,Jesus
281,13,0,David,de Gea,de Gea
282,13,0,Sergio,Romero,Romero
283,13,1,Chris,Smalling,Smalling
284,13,1,Phil,Jones,Jones
285,13,1,Luke,Shaw,Shaw
286,13,1,Marcos,Rojo,Rojo
287,13,1,Antonio,Valencia,Valencia
288,13,1,Matteo,Darmian,Darmian
289,13,1,Daley,Blind,Blind
290,13,1,Eric,Bailly,Bailly
291,13,1,Victor,Lindelof,Lindelof
292,13,1,Ashley,Young,Young
293,13,1,Jose Diogo,Dalot Teixeira,Dalot
294,13,2,Alexis,Sanchez,Sanchez
295,13,2,Nemanja,Matic,Matic
296,13,2,Juan,Mata,Mata
297,13,2,Marouane,Fellaini,Fellaini
298,13,2,Ander,Herrera,Herrera
299,13,2,Jesse,Lingard,Lingard
300,13,2,Anthony,Martial,Martial
301,13,2,Paul,Pogba,Pogba
302,13,2,Scott,McTominay,McTominay
303,13,2,Frederico,Rodrigues de Paula Santos,Fred
304,13,3,Marcus,Rashford,Rashford
305,13,3,Romelu,Lukaku,Lukaku
306,14,0,Robert,Elliot,Elliot
307,14,0,Karl,Darlow,Darlow
308,14,0,Martin,Dubravka,Dubravka
309,14,1,DeAndre,Yedlin,Yedlin
310,14,1,Ciaran,Clark,Clark
311,14,1,Jamaal,Lascelles,Lascelles
312,14,1,Paul,Dummett,Dummett
313,14,1,Florian,Lejeune,Lejeune
314,14,1,Javier,Manquillo,Manquillo
315,14,1,Chancel,Mbemba,Mbemba
316,14,2,Matt,Ritchie,Ritchie
317,14,2,Jonjo,Shelvey,Shelvey
318,14,2,Mohamed,Diame,Diame
319,14,2,Christian,Atsu,Atsu
320,14,2,Jacob,Murphy,Murphy
321,14,2,Mikel,Merino,Merino
322,14,2,Isaac,Hayden,Hayden
323,14,2,Sung-yueng,Ki,Ki Sung-yueng
324,14,3,Dwight,Gayle,Gayle
325,14,3,Ayoze,Perez,Perez
326,14,3,Jose Luis,Mato Sanmartin,Joselu
327,15,0,Alex,McCarthy,McCarthy
328,15,0,Fraser,Forster,Forster
329,15,1,Ryan,Bertrand,Bertrand
330,15,1,Maya,Yoshida,Yoshida
331,15,1,Cedric,Soares,Cedric
332,15,1,Jack,Stephens,Stephens
333,15,1,Sam,McQueen,McQueen
334,15,1,Jan,Bednarek,Bednarek
335,15,1,Wesley,Hoedt,Hoedt
336,15,2,Steven,Davis,Davis
337,15,2,James,Ward-Prowse,Ward-Prowse
338,15,2,Oriol,Romeu Vidal,Oriol Romeu
339,15,2,Pierre-Emile,Hjbjerg,Hjbjerg
340,15,2,Sofiane,Boufal,Boufal
341,15,2,Joshua,Sims,Sims
342,15,2,Nathan,Redmond,Redmond
343,15,2,Mario,Lemina,Lemina
344,15,2,Stuart,Armstrong,Armstrong
345,15,2,Mohamed,Elyounoussi,Elyounoussi
346,15,3,Shane,Long,Long
347,15,3,Charlie,Austin,Austin
348,15,3,Manolo,Gabbiadini,Gabbiadini
349,15,3,Guido,Carrillo,Carrillo
350,16,0,Hugo,Lloris,Lloris
351,16,0,Michel,Vorm,Vorm
352,16,1,Toby,Alderweireld,Alderweireld
353,16,1,Danny,Rose,Rose
354,16,1,Jan,Vertonghen,Vertonghen
355,16,1,Ben,Davies,Davies
356,16,1,Kieran,Trippier,Trippier
357,16,1,Kyle,Walker-Peters,Walker-Peters
358,16,1,Davinson,Sanchez,Sanchez
359,16,1,Serge,Aurier,Aurier
