kickoff_time,team_h_score,team_a_score,was_home,round,total_points,value,transfers_balance,selected,transfers_in,transfers_out,loaned_in,loaned_out,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,errors_leading_to_goal_attempt,tackled,offside,target_missed,fouls,dribbles,id,fixture,opponent_team,team,position
2018-11-25 13:30:00+00:00,1,2,False,13,0,49,-2721,83590,457,3178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,1,0,0
2018-12-02 14:05:00+00:00,4,2,True,14,0,49,-1529,82400,210,1739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,16,0,0
2018-12-05 20:00:00+00:00,2,2,False,15,0,49,-1607,81015,188,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,13,0,0
2018-12-08 15:00:00+00:00,1,0,True,16,0,49,-1317,80100,604,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,9,0,0
2018-12-16 13:30:00+00:00,3,2,False,17,0,49,-2094,78349,299,2393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,15,0,0
2018-12-22 12:30:00+00:00,3,1,True,18,0,49,-1474,77315,281,1755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,3,0,0
2018-12-26 17:15:00+00:00,1,1,False,19,0,49,-1490,76135,239,1729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,2,0,0
2018-12-29 17:30:00+00:00,5,1,False,20,0,48,-1274,75199,193,1467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,11,0,0
2019-01-01 15:00:00+00:00,4,1,True,21,0,48,-1289,74203,249,1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,8,0,0
2019-01-12 12:30:00+00:00,1,0,False,22,0,48,-1560,73210,308,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,18,0,0
2019-01-19 17:30:00+00:00,2,0,True,23,0,48,-1218,72299,146,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,5,0,0
2019-01-29 19:45:00+00:00,2,1,True,24,0,48,-814,71912,304,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,4,0,0
2019-02-03 16:30:00+00:00,3,1,False,25,0,48,-488,71563,115,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,12,0,0
2019-02-09 15:00:00+00:00,1,2,False,26,0,48,-568,71372,269,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,9,0,0
2019-02-24 14:05:00+00:00,2,0,True,27,0,48,-552,71363,322,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,15,0,0
2019-02-27 19:45:00+00:00,5,1,True,28,0,48,-210,71180,88,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,1,0,0
2019-03-02 12:30:00+00:00,1,1,False,29,0,48,-321,70975,79,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,16,0,0
2019-03-10 16:30:00+00:00,2,0,True,30,0,48,-333,70799,65,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,13,0,0
2019-04-01 19:00:00+00:00,2,0,True,32,0,48,-203,70711,114,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,14,0,0
2019-04-07 13:05:00+00:00,1,0,False,33,0,47,-88,70804,157,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,7,0,0
2019-04-15 19:00:00+00:00,0,1,False,34,0,47,-100,70833,132,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,17,0,0
2019-04-21 15:00:00+00:00,2,3,True,35,0,47,-33,71001,271,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,6,0,0
2019-04-24 18:45:00+00:00,3,1,False,35,0,47,-33,71001,271,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,19,0,0
2019-04-28 11:00:00+00:00,3,0,False,36,0,47,-140,70940,109,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,10,0,0
2019-05-05 15:30:00+00:00,1,1,True,37,0,47,-112,70944,114,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,2,0,0
2019-05-12 14:00:00+00:00,1,3,False,38,0,47,25,71135,272,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,3,0,0
2018-08-12 15:00:00+00:00,0,2,True,1,0,50,0,110646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0
2018-08-18 16:30:00+00:00,3,2,False,2,0,50,-14370,107349,1857,16227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,5,0,0
2018-08-25 14:00:00+00:00,3,1,True,3,0,49,-17771,92305,1103,18874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,18,0,0
2018-09-02 12:30:00+00:00,2,3,False,4,0,49,-11562,82858,500,12062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,4,0,0
2018-09-15 14:00:00+00:00,1,2,False,5,0,48,-7085,77555,754,7839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,14,0,0
2018-09-23 15:00:00+00:00,2,0,True,6,0,48,-4376,74131,353,4729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,7,0,0
2018-09-29 14:00:00+00:00,2,0,True,7,2,48,-3790,70906,180,3970,0,0,45,0,0,0,0,0,0,0,0,0,3,0,11,26.4,0.0,0.0,2.6,0,0,0,2,3,0,0,0,18,12,0,0,0,0,0,0,0,0,0,1,60,17,0,0
2018-10-07 11:00:00+00:00,1,5,False,8,3,48,11531,85008,13379,1848,0,0,90,0,0,0,1,0,0,0,0,0,3,0,19,21.6,0.0,0.0,2.2,0,0,0,1,17,0,0,0,33,25,0,0,0,0,0,0,0,0,0,1,73,8,0,0
2018-10-22 19:00:00+00:00,3,1,True,9,2,48,4917,90965,8112,3195,0,0,90,0,0,0,1,0,0,0,0,0,2,0,13,16.2,0.0,0.0,1.6,0,0,0,1,11,0,0,0,26,21,0,0,0,0,0,0,0,0,0,1,80,10,0,0
2018-10-28 13:30:00+00:00,2,2,False,10,1,48,1406,93513,4223,2817,0,0,90,0,0,0,2,0,0,0,0,0,1,0,12,9.2,0.0,0.0,0.9,0,0,0,5,6,0,0,0,24,23,0,0,0,0,0,0,0,0,0,1,92,6,0,0
2018-11-03 17:30:00+00:00,1,1,True,11,3,48,-3545,90454,1621,5166,0,0,90,0,0,0,1,0,0,0,0,0,3,0,12,23.6,0.0,0.0,2.4,0,0,0,2,7,0,0,0,27,23,0,0,1,0,0,0,0,0,0,1,100,11,0,0
2018-11-11 16:30:00+00:00,1,1,True,12,4,48,6143,99308,8173,2030,0,0,90,0,0,0,1,0,0,0,0,0,4,1,18,31.0,0.0,0.0,3.1,0,0,0,0,14,0,0,0,19,18,0,0,0,0,0,0,0,0,0,1,110,19,0,0
2018-11-25 13:30:00+00:00,1,2,False,13,3,48,544,100630,3453,2909,0,0,90,0,0,0,1,0,0,0,0,0,5,0,20,31.8,0.0,0.0,3.2,0,0,0,0,13,0,0,0,35,15,0,0,0,0,0,0,0,0,0,1,120,1,0,0
2018-12-02 14:05:00+00:00,4,2,True,14,2,48,-51,101270,1996,2047,0,0,90,0,0,0,2,0,0,0,0,0,4,0,13,23.4,0.0,0.0,2.3,0,0,0,1,7,0,0,0,30,17,0,0,1,0,0,0,0,0,0,1,130,16,0,0
2018-12-05 20:00:00+00:00,2,2,False,15,2,48,1130,103367,3448,2318,0,0,90,0,0,0,2,0,0,0,0,0,5,0,22,24.6,0.0,0.0,2.5,0,0,0,1,12,0,0,0,32,23,0,0,0,0,0,0,0,0,0,1,144,13,0,0
2018-12-08 15:00:00+00:00,1,0,True,16,7,48,14441,124446,16815,2374,0,0,90,0,0,1,0,0,0,0,0,0,0,1,22,6.4,0.0,0.0,0.6,0,0,0,1,7,0,0,0,38,27,0,0,0,0,0,0,0,0,0,1,150,9,0,0
2018-12-16 13:30:00+00:00,3,2,False,17,2,48,12049,135252,15864,3815,0,0,90,0,0,0,3,0,0,0,0,0,4,0,14,20.6,0.0,0.0,2.1,0,0,0,1,9,0,0,0,28,26,0,0,1,0,0,0,0,0,0,1,166,15,0,0
2018-12-22 12:30:00+00:00,3,1,True,18,2,48,5500,142055,10708,5208,0,0,90,0,0,0,1,0,0,0,0,0,1,0,11,13.2,0.0,0.0,1.3,0,0,0,2,7,0,0,0,38,22,0,0,0,0,0,0,0,0,0,1,170,3,0,0
2018-12-26 17:15:00+00:00,1,1,False,19,2,48,-1515,140787,5777,7292,0,0,90,0,0,0,1,0,0,0,0,0,2,0,16,22.0,0.0,0.0,2.2,0,0,0,1,7,0,0,0,36,30,0,0,0,0,0,0,0,0,0,1,180,2,0,0
2018-12-29 17:30:00+00:00,5,1,False,20,1,48,-9063,131962,2637,11700,0,0,90,0,0,0,5,0,0,0,0,0,5,0,21,37.8,0.0,0.0,3.8,0,0,0,2,14,0,0,0,32,20,0,0,0,0,0,0,0,0,0,1,195,11,0,0
2019-01-01 15:00:00+00:00,4,1,True,21,3,48,3101,137572,10080,6979,0,0,90,0,0,0,1,0,0,0,0,0,3,0,18,28.2,0.0,0.0,2.8,0,0,0,0,18,0,0,0,38,21,0,0,0,0,0,0,0,0,0,1,200,8,0,0
2019-01-12 12:30:00+00:00,1,0,False,22,2,48,-6048,132250,5364,11412,0,0,90,0,0,0,1,0,0,0,0,0,2,0,15,17.2,0.0,0.0,1.7,0,0,0,0,10,0,0,0,33,26,0,0,0,0,0,0,0,0,0,1,219,18,0,0
2019-01-19 17:30:00+00:00,2,0,True,23,6,48,-8983,123855,2550,11533,0,0,90,0,0,1,0,0,0,0,0,0,1,0,23,11.4,0.0,0.0,1.1,0,0,0,1,11,0,0,0,32,18,0,0,0,0,0,0,0,0,0,1,220,5,0,0
2019-01-29 19:45:00+00:00,2,1,True,24,2,48,11546,137995,16026,4480,0,0,90,0,0,0,1,0,0,0,0,0,1,0,11,8.4,0.0,0.0,0.8,0,0,0,1,10,0,0,0,28,23,0,0,0,0,0,0,0,0,0,1,230,4,0,0
2019-02-03 16:30:00+00:00,3,1,False,25,5,48,-6387,130106,1726,8113,0,0,90,0,0,0,3,0,0,0,0,0,9,1,28,70.8,0.0,0.0,7.1,0,0,0,3,10,0,0,0,38,25,0,0,0,0,0,0,0,0,0,1,247,12,0,0
2019-02-09 15:00:00+00:00,1,2,False,26,3,48,13304,146892,17037,3733,0,0,90,0,0,0,1,0,0,0,0,0,5,0,19,32.8,0.0,0.0,3.3,0,0,0,0,11,0,0,0,29,19,0,0,0,0,0,0,0,0,0,1,253,9,0,0
2019-02-24 14:05:00+00:00,2,0,True,27,7,48,6232,163702,11467,5235,0,0,90,0,0,1,0,0,0,0,0,0,4,0,28,31.4,0.0,0.0,3.1,0,0,0,0,8,0,0,0,28,18,0,0,0,0,0,0,0,0,0,1,260,15,0,0
2019-02-27 19:45:00+00:00,5,1,True,28,3,48,2302,156556,5783,3481,0,0,90,0,0,0,1,0,0,0,0,0,4,0,16,23.6,0.0,0.0,2.4,0,0,0,0,6,0,0,0,29,23,0,0,0,0,0,0,0,0,0,1,270,1,0,0
2019-03-02 12:30:00+00:00,1,1,False,29,2,48,-6959,149525,2309,9268,0,0,90,0,0,0,1,0,0,0,0,0,2,0,11,19.4,0.0,0.0,1.9,0,0,0,0,4,0,0,0,32,17,0,0,0,0,0,0,0,0,0,1,286,16,0,0
2019-03-10 16:30:00+00:00,2,0,True,30,9,48,-3408,146874,2521,5929,0,0,90,0,0,1,0,0,0,0,0,0,4,2,29,31.2,0.0,0.0,3.1,0,0,0,0,9,0,0,0,31,16,0,0,0,0,0,0,0,0,0,1,290,13,0,0
2019-04-01 19:00:00+00:00,2,0,True,32,6,48,7170,156501,13360,6190,0,0,90,0,0,1,0,0,0,0,0,0,1,0,23,10.2,0.0,0.0,1.0,0,0,0,0,9,0,0,0,20,12,0,0,0,0,0,0,0,0,0,1,310,14,0,0
2019-04-07 13:05:00+00:00,1,0,False,33,3,48,36103,201274,38855,2752,0,0,90,0,0,0,1,0,0,0,0,0,5,0,20,41.4,0.0,0.0,4.1,0,0,0,1,9,0,0,0,33,26,0,0,0,0,1,0,0,0,0,1,322,7,0,0
2019-04-15 19:00:00+00:00,0,1,False,34,6,49,12975,209355,32881,19906,0,0,90,0,0,1,0,0,0,0,0,0,2,0,24,16.4,0.0,0.0,1.6,0,0,0,1,6,0,0,0,26,19,0,0,0,0,0,0,0,0,0,1,339,17,0,0
2019-04-21 15:00:00+00:00,2,3,True,35,2,49,47006,263807,51276,4270,0,0,90,0,0,0,3,0,0,0,0,0,4,0,15,31.4,0.0,0.0,3.1,0,0,0,1,5,0,0,0,15,13,0,0,0,0,0,0,0,0,0,1,340,6,0,0
2019-04-24 18:45:00+00:00,3,1,False,35,1,49,47006,263807,51276,4270,0,0,90,0,0,0,3,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0,0,1,3,0,0,0,14,11,0,0,1,0,0,0,0,0,0,1,309,19,0,0
2019-04-28 11:00:00+00:00,3,0,False,36,4,49,-10178,246862,2575,12753,0,0,90,0,0,0,3,0,0,0,0,0,9,0,30,68.0,0.0,0.0,6.8,0,0,0,3,16,0,0,0,26,10,0,0,0,0,0,0,0,0,0,1,354,10,0,0
2019-05-05 15:30:00+00:00,1,1,True,37,3,49,6482,254837,11915,5433,0,0,90,0,0,0,1,0,0,0,0,0,4,0,15,31.6,0.0,0.0,3.2,0,0,0,1,8,0,0,0,22,17,0,0,0,1,0,0,0,0,0,1,360,2,0,0
2019-05-12 14:00:00+00:00,1,3,False,38,3,49,-2158,251819,6049,8207,0,0,90,0,0,0,1,0,0,0,0,0,3,0,15,26.0,0.0,0.0,2.6,0,0,0,1,10,0,0,0,32,22,0,0,0,0,0,0,0,0,0,1,371,3,0,0
2018-08-12 15:00:00+00:00,0,2,True,1,0,55,0,6155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,1
2018-08-18 16:30:00+00:00,3,2,False,2,0,55,-1179,6682,120,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,5,0,1
2018-08-25 14:00:00+00:00,3,1,True,3,0,55,-900,6226,74,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,18,0,1
2018-09-02 12:30:00+00:00,2,3,False,4,0,55,-508,6016,56,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,4,0,1
2018-09-15 14:00:00+00:00,1,2,False,5,0,55,-340,5961,64,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45,14,0,1
2018-09-23 15:00:00+00:00,2,0,True,6,0,54,-155,5935,42,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,7,0,1
2018-09-29 14:00:00+00:00,2,0,True,7,0,54,-139,5909,32,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60,17,0,1
2018-10-07 11:00:00+00:00,1,5,False,8,0,54,-94,5869,32,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,73,8,0,1
2018-10-22 19:00:00+00:00,3,1,True,9,0,54,-97,5882,39,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,10,0,1
2018-10-28 13:30:00+00:00,2,2,False,10,0,54,-41,5890,41,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,92,6,0,1
2018-11-03 17:30:00+00:00,1,1,True,11,0,54,-60,5900,35,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,11,0,1
2018-11-11 16:30:00+00:00,1,1,True,12,0,54,-42,5911,46,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,110,19,0,1
2018-11-25 13:30:00+00:00,1,2,False,13,0,54,-34,5928,42,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,120,1,0,1
2018-12-02 14:05:00+00:00,4,2,True,14,0,54,-22,5944,37,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,130,16,0,1
2018-12-05 20:00:00+00:00,2,2,False,15,0,54,-13,5977,35,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,144,13,0,1
2018-12-08 15:00:00+00:00,1,0,True,16,0,54,85,6103,195,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,150,9,0,1
2018-12-16 13:30:00+00:00,3,2,False,17,0,54,1641,8214,1959,318,0,0,90,0,0,0,3,0,0,0,1,0,0,0,11,26.2,0.7,7.0,3.4,0,0,0,6,8,0,0,0,92,85,0,0,0,0,0,0,1,2,0,2,166,15,0,1
2018-12-22 12:30:00+00:00,3,1,True,18,0,54,2718,11425,3415,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,170,3,0,1
2018-12-26 17:15:00+00:00,1,1,False,19,2,54,-231,11448,1560,1791,0,0,69,0,0,0,1,0,0,0,0,0,0,0,17,18.4,0.4,2.0,2.1,0,0,0,4,3,0,1,0,74,70,0,0,0,0,0,0,0,0,0,2,180,2,0,1
2018-12-29 17:30:00+00:00,5,1,False,20,1,54,-1944,9579,258,2202,0,0,45,0,0,0,1,0,0,0,0,0,0,0,10,8.6,0.1,0.0,0.9,0,0,0,2,4,0,0,0,38,36,0,0,0,0,0,0,0,1,0,2,195,11,0,1
2019-01-01 15:00:00+00:00,4,1,True,21,2,54,802,10847,1486,684,0,0,90,0,0,0,1,0,0,0,0,0,0,0,19,28.8,0.6,2.0,3.1,0,0,0,10,6,0,1,0,64,57,0,0,0,0,0,0,0,0,0,2,200,8,0,1
2019-01-12 12:30:00+00:00,1,0,False,22,2,54,-909,10271,878,1787,0,0,90,0,0,0,1,0,0,0,0,0,0,0,17,17.6,1.3,0.0,1.9,0,0,0,2,6,0,1,0,89,87,0,0,0,0,0,0,0,0,0,2,219,18,0,1
2019-01-19 17:30:00+00:00,2,0,True,23,15,54,-168,10432,491,659,0,0,90,1,0,1,0,0,0,0,0,0,0,3,41,69.8,0.4,34.0,10.4,0,0,0,17,3,0,1,0,32,27,0,1,0,0,0,0,0,1,0,2,220,5,0,1
